# Name Epoch Band Mag eMag period DM E(B-V) KMEAN  W1MEAN
lc_3.0_6.50_0.01 56227.46455016270193 r 19.1007 0.0320 3.0000  6.5000 0.0180  2.3542  2.3477
lc_3.0_10.5_1.88 55897.45882380569674 g 14.3807 0.0150 3.0000 10.5000 1.8860  6.5765  6.4598
lc_3.0_11.0_1.89 55897.45882380569674 g 14.8962 0.0149 3.0000 11.0000 1.8940  7.0775  6.9603
lc_3.0_11.5_1.91 55897.45882380569674 g 15.4576 0.0149 3.0000 11.5000 1.9130  7.5797  7.4614
lc_3.0_12.0_1.92 55897.45882380569674 g 15.9805 0.0152 3.0000 12.0000 1.9270  8.0814  7.9622
lc_3.0_12.0_1.92 56284.29320021769672 r 13.7788 0.0013 3.0000 12.0000 1.9270  8.0814  7.9622
lc_3.0_12.0_1.92 56284.28636035259842 r 13.7489 0.0012 3.0000 12.0000 1.9270  8.0814  7.9622
lc_3.0_12.0_1.92 56227.45243611429760 r 13.7795 0.0013 3.0000 12.0000 1.9270  8.0814  7.9622
lc_3.0_12.0_1.92 56227.46455016270193 r 13.7736 0.0013 3.0000 12.0000 1.9270  8.0814  7.9622
lc_3.0_12.5_1.93 55897.45882380569674 g 16.5098 0.0160 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_12.5_1.93 55517.44715103269846 r 13.6153 0.0012 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_12.5_1.93 56284.29320021769672 r 14.2770 0.0016 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_12.5_1.93 56284.28636035259842 r 14.2910 0.0016 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_12.5_1.93 56259.35630858749937 r 14.0385 0.0014 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_12.5_1.93 56259.34318630520283 r 14.0600 0.0014 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_12.5_1.93 56227.45243611429760 r 14.3051 0.0016 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_12.5_1.93 56227.46455016270193 r 14.2320 0.0015 3.0000 12.5000 1.9340  8.5822  8.4627
lc_3.0_13.0_1.94 55897.45882380569674 g 17.0329 0.0174 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 55517.44715103269846 r 14.1253 0.0015 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56284.29320021769672 r 14.7778 0.0020 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56284.28636035259842 r 14.7646 0.0020 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56259.35630858749937 r 14.5276 0.0018 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56259.34318630520283 r 14.5398 0.0018 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56227.45243611429760 r 14.8453 0.0021 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56227.46455016270193 r 14.7741 0.0020 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56257.33640677770018 i 13.5362 0.0154 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.0_1.94 56257.32902269480110 i 13.5439 0.0154 3.0000 13.0000 1.9460  9.0837  8.9634
lc_3.0_13.5_1.95 55897.45882380569674 g 17.6253 0.0199 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 55517.44715103269846 r 14.6244 0.0019 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56284.29320021769672 r 15.3146 0.0027 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56284.28636035259842 r 15.2814 0.0026 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56259.35630858749937 r 15.0543 0.0023 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56259.34318630520283 r 15.0385 0.0023 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56227.45243611429760 r 15.3345 0.0027 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56227.46455016270193 r 15.3594 0.0027 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 55875.42765569820040 i 13.7939 0.0151 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 55875.44148935020348 i 13.8086 0.0151 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 55901.31523044549976 i 13.5909 0.0153 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 55901.32953791879845 i 13.5871 0.0153 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56257.33640677770018 i 14.0692 0.0149 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_13.5_1.95 56257.32902269480110 i 14.0418 0.0149 3.0000 13.5000 1.9540  9.5846  9.4639
lc_3.0_14.0_1.96 55897.45882380569674 g 18.1148 0.0231 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 55517.44715103269846 r 15.1954 0.0025 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56284.29320021769672 r 15.8477 0.0036 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56284.28636035259842 r 15.8203 0.0036 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56259.35630858749937 r 15.5798 0.0031 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56259.34318630520283 r 15.5511 0.0030 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56227.45243611429760 r 15.8661 0.0036 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56227.46455016270193 r 15.8752 0.0037 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 55875.42765569820040 i 14.3020 0.0148 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 55875.44148935020348 i 14.3197 0.0147 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 55901.31523044549976 i 14.0687 0.0149 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 55901.32953791879845 i 14.1311 0.0149 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56257.33640677770018 i 14.5354 0.0146 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.0_1.96 56257.32902269480110 i 14.6200 0.0146 3.0000 14.0000 1.9670 10.0862  9.9646
lc_3.0_14.5_1.97 55897.45882380569674 g 18.6006 0.0277 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55517.44715103269846 r 15.7034 0.0033 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56284.29320021769672 r 16.3176 0.0048 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56284.28636035259842 r 16.3897 0.0050 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56259.35630858749937 r 16.0737 0.0041 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56259.34318630520283 r 16.0772 0.0041 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56227.45243611429760 r 16.3724 0.0050 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56227.46455016270193 r 16.3647 0.0049 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55875.42765569820040 i 14.8572 0.0145 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55875.44148935020348 i 14.8093 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55901.31523044549976 i 14.5953 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55901.32953791879845 i 14.5975 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56257.33640677770018 i 15.1059 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56257.32902269480110 i 15.0704 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55219.24340715669678 z 13.8632 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55219.23410687190335 z 13.8529 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55829.63092390359816 z 13.6322 0.0147 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55829.63593679820042 z 13.5777 0.0147 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55934.40328611440054 z 13.5794 0.0147 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55934.39635869990161 z 13.6235 0.0147 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55437.63253801580140 z 13.7417 0.0146 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55437.62221778090316 z 13.7327 0.0147 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 55462.53309822829760 y 13.5467 0.0148 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_14.5_1.97 56200.50863142599701 y 13.5078 0.0148 3.0000 14.5000 1.9700 10.5865 10.4648
lc_3.0_15.0_1.97 55897.45882380569674 g 19.1593 0.0359 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55517.44715103269846 r 16.2107 0.0045 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56284.29320021769672 r 16.8411 0.0067 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56284.28636035259842 r 16.9021 0.0069 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56259.35630858749937 r 16.6000 0.0057 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56259.34318630520283 r 16.6259 0.0058 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56227.45243611429760 r 16.8666 0.0068 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56227.46455016270193 r 16.9129 0.0070 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55875.42765569820040 i 15.2744 0.0147 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55875.44148935020348 i 15.2758 0.0147 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55901.31523044549976 i 15.1223 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55901.32953791879845 i 15.1299 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56257.33640677770018 i 15.5821 0.0149 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56257.32902269480110 i 15.6252 0.0150 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55219.24340715669678 z 14.3505 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55219.23410687190335 z 14.3330 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55829.63092390359816 z 14.1483 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55829.63593679820042 z 14.1315 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55934.40328611440054 z 14.1080 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55934.39635869990161 z 14.0785 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55437.63253801580140 z 14.1876 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55437.62221778090316 z 14.2850 0.0146 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55462.53309822829760 y 13.9527 0.0151 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55462.52553899760096 y 13.9440 0.0151 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55555.39799685410253 y 14.0137 0.0151 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55555.40638300910359 y 13.9632 0.0151 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55934.38827010110253 y 13.8378 0.0150 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55934.38128630180290 y 13.8504 0.0150 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55818.51473601809994 y 13.8251 0.0150 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 55818.50616581320355 y 13.7955 0.0149 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56200.50083606869885 y 13.9898 0.0151 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.0_1.97 56200.50863142599701 y 14.0028 0.0151 3.0000 15.0000 1.9720 11.0868 10.9649
lc_3.0_15.5_1.97 55897.45882380569674 g 19.6561 0.0471 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 55517.44715103269846 r 16.6793 0.0060 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56284.29320021769672 r 17.3314 0.0092 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56284.28636035259842 r 17.3935 0.0096 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56259.35630858749937 r 17.0929 0.0078 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56259.34318630520283 r 17.1248 0.0080 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56227.45243611429760 r 17.3635 0.0094 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56227.46455016270193 r 17.3785 0.0095 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 55875.42765569820040 i 15.8265 0.0152 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 55875.44148935020348 i 15.7767 0.0152 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 55901.31523044549976 i 15.6091 0.0149 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 55901.32953791879845 i 15.5875 0.0149 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56257.33640677770018 i 16.1169 0.0158 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 56257.32902269480110 i 16.0812 0.0157 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 55219.24340715669678 z 14.8395 0.0148 3.0000 15.5000 1.9740 11.5870 11.4651
lc_3.0_15.5_1.97 55219.23410687190335 z 14.8747 0.0149 3.0000 15.5000 1.9740 11.5870 11.4651
