# Name Epoch Band Mag eMag period DM E(B-V) KMEAN  W1MEAN
lc_3.0_12.5_1.06 56156.37063464090170 g 13.7607 0.0152 3.0000 12.5000 1.0670  8.4791  8.4106
lc_3.0_12.5_1.06 56156.35776030879788 g 13.7822 0.0152 3.0000 12.5000 1.0670  8.4791  8.4106
lc_3.0_12.5_1.06 56516.37345932010066 g 13.7203 0.0152 3.0000 12.5000 1.0670  8.4791  8.4106
lc_3.0_12.5_1.06 56516.38433258610166 g 13.7679 0.0152 3.0000 12.5000 1.0670  8.4791  8.4106
lc_3.0_12.5_1.06 55417.50787448659685 g 13.5087 0.0153 3.0000 12.5000 1.0670  8.4791  8.4106
lc_3.0_12.5_1.06 55802.33542795819812 g 13.7641 0.0152 3.0000 12.5000 1.0670  8.4791  8.4106
lc_3.0_13.0_1.15 56156.37063464090170 g 14.5588 0.0150 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 56156.35776030879788 g 14.5718 0.0150 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 56516.37345932010066 g 14.5267 0.0150 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 56516.38433258610166 g 14.5571 0.0150 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 55417.50787448659685 g 14.2628 0.0151 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 55417.49611749160249 g 14.2949 0.0151 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 55802.33542795819812 g 14.5616 0.0150 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 55441.32582437709789 g 14.1914 0.0151 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.0_1.15 55441.31340539179655 g 14.1882 0.0151 3.0000 13.0000 1.1580  8.9899  8.9161
lc_3.0_13.5_1.72 56156.37063464090170 g 16.8372 0.0168 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56156.35776030879788 g 16.8567 0.0168 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56516.37345932010066 g 16.8619 0.0168 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56516.38433258610166 g 16.8515 0.0168 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55417.50787448659685 g 16.5950 0.0162 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55417.49611749160249 g 16.5561 0.0161 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55802.33542795819812 g 16.8351 0.0168 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55441.32582437709789 g 16.5075 0.0160 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55441.31340539179655 g 16.4984 0.0160 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55437.34010023759765 r 14.1398 0.0015 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56156.34378520119935 r 14.7591 0.0020 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56156.33347184360173 r 14.7713 0.0020 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56528.37854120309930 r 14.8254 0.0021 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56528.36787954989995 r 14.7858 0.0020 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56498.49443307719775 i 13.6594 0.0153 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56498.50536331260082 i 13.6508 0.0153 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56144.41940266449819 i 13.7104 0.0152 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 56144.40805611560063 i 13.6731 0.0153 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55793.36629898010142 i 13.6126 0.0153 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_13.5_1.72 55793.35540329200012 i 13.6846 0.0152 3.0000 13.5000 1.7240  9.5572  9.4501
lc_3.0_14.0_1.79 56156.37063464090170 g 17.5962 0.0197 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56156.35776030879788 g 17.6043 0.0198 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56516.37345932010066 g 17.5774 0.0196 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56516.38433258610166 g 17.5628 0.0195 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55417.50787448659685 g 17.3387 0.0185 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55417.49611749160249 g 17.3049 0.0184 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55802.33542795819812 g 17.5573 0.0195 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55441.32582437709789 g 17.2157 0.0180 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55441.31340539179655 g 17.2377 0.0181 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55437.34010023759765 r 14.7703 0.0020 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56156.34378520119935 r 15.4653 0.0029 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56156.33347184360173 r 15.4764 0.0029 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56528.37854120309930 r 15.4936 0.0029 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56528.36787954989995 r 15.4288 0.0028 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56524.41524367270176 i 13.9921 0.0150 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56524.40374782639992 i 14.0331 0.0149 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56498.49443307719775 i 14.2556 0.0148 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56498.50536331260082 i 14.2474 0.0148 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55407.52049615039869 i 13.8555 0.0151 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55407.50695173080021 i 13.8813 0.0151 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56144.41940266449819 i 14.3042 0.0147 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56144.40805611560063 i 14.3161 0.0147 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55793.36629898010142 i 14.2931 0.0148 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55793.35540329200012 i 14.2796 0.0148 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55788.42163907129725 i 13.8107 0.0151 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55788.40929978580243 i 13.7898 0.0152 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55441.29931574420334 i 13.9965 0.0150 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 55441.28758650500095 i 13.9391 0.0150 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56172.41484385490185 i 13.8074 0.0151 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56172.41882800919848 i 13.8424 0.0151 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56172.42681860269659 i 13.7508 0.0152 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.0_1.79 56172.43080182279664 i 13.8154 0.0151 3.0000 14.0000 1.7950 10.0657  9.9543
lc_3.0_14.5_1.81 56156.37063464090170 g 18.1594 0.0234 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56156.35776030879788 g 18.1316 0.0232 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56516.37345932010066 g 18.1178 0.0231 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56516.38433258610166 g 18.1463 0.0233 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55417.50787448659685 g 17.8845 0.0214 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55417.49611749160249 g 17.8760 0.0214 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55802.33542795819812 g 18.1275 0.0232 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55441.32582437709789 g 17.7805 0.0208 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55441.31340539179655 g 17.7895 0.0208 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55437.34010023759765 r 15.3539 0.0027 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56156.34378520119935 r 16.0232 0.0040 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56156.33347184360173 r 16.0574 0.0041 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56528.37854120309930 r 15.9959 0.0039 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56528.36787954989995 r 16.0109 0.0040 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56524.41524367270176 i 14.5217 0.0146 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56524.40374782639992 i 14.5304 0.0146 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56498.49443307719775 i 14.8142 0.0146 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 56498.50536331260082 i 14.8063 0.0146 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55407.52049615039869 i 14.3768 0.0147 3.0000 14.5000 1.8150 10.5681 10.4555
lc_3.0_14.5_1.81 55407.50695173080021 i 14.4588 0.0147 3.0000 14.5000 1.8150 10.5681 10.4555
