# Name Epoch Band Mag eMag period DM E(B-V) KMEAN  W1MEAN
lc_3.0_6.50_0.01 56482.54402803449921 r 14.7075 0.0019 3.0000  6.5000 0.0180  2.3542  2.3477
lc_3.0_7.00_0.02 55378.56670094100264 r 19.9149 0.0590 3.0000  7.0000 0.0230  2.8548  2.8480
lc_3.0_12.5_1.24 55395.56516158580052 g 14.0849 0.0151 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 55015.34793569100293 g 14.2920 0.0151 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 56149.30201500289695 g 14.2918 0.0151 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 56149.29112705119769 g 14.3112 0.0151 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 56482.58652904180053 g 14.2984 0.0151 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 56482.57503156160237 g 14.3190 0.0150 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 55002.61762763030129 g 14.1255 0.0151 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 55417.31689128839935 g 14.3208 0.0150 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 55417.30544311519770 g 14.2988 0.0151 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 55767.37129811519844 g 14.0128 0.0152 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_12.5_1.24 55767.38257227690337 g 13.9949 0.0152 3.0000 12.5000 1.2430  8.5000  8.4212
lc_3.0_13.0_1.29 55395.56516158580052 g 14.7425 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55015.34793569100293 g 14.9879 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 56149.30201500289695 g 14.9738 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 56149.29112705119769 g 14.9626 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 56482.58652904180053 g 14.9833 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 56482.57503156160237 g 14.9810 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55002.61762763030129 g 14.7838 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55766.35601778970158 g 14.0113 0.0152 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55766.34473566109955 g 14.0254 0.0152 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55417.31689128839935 g 14.9568 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55417.30544311519770 g 14.9671 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55767.37129811519844 g 14.6288 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55767.38257227690337 g 14.6602 0.0149 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55763.34899880839657 g 14.0091 0.0152 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.0_1.29 55763.33769111239963 g 13.9999 0.0152 3.0000 13.0000 1.2930  9.0060  8.9242
lc_3.0_13.5_1.29 55395.56516158580052 g 15.2597 0.0148 3.0000 13.5000 1.2960  9.5063  9.4244
lc_3.0_13.5_1.29 55015.34793569100293 g 15.4783 0.0149 3.0000 13.5000 1.2960  9.5063  9.4244
lc_3.0_13.5_1.29 56149.30201500289695 g 15.4687 0.0149 3.0000 13.5000 1.2960  9.5063  9.4244
lc_3.0_13.5_1.29 56149.29112705119769 g 15.4803 0.0149 3.0000 13.5000 1.2960  9.5063  9.4244
lc_3.0_13.5_1.29 56482.58652904180053 g 15.4930 0.0149 3.0000 13.5000 1.2960  9.5063  9.4244
