# Name Epoch Band Mag eMag period DM E(B-V) KMEAN  W1MEAN
lc_3.0_8.50_2.66 55446.26122135000332 g 13.8434 0.0152 3.0000  8.5000 2.6660  4.6693  4.5066
lc_3.0_9.00_2.68 55446.26122135000332 g 14.4390 0.0150 3.0000  9.0000 2.6840  5.1715  5.0077
lc_3.0_9.50_2.69 55446.26122135000332 g 14.9747 0.0149 3.0000  9.5000 2.6950  5.6728  5.5083
lc_3.0_10.0_2.74 55446.26122135000332 g 15.5979 0.0149 3.0000 10.0000 2.7450  6.1787  6.0113
lc_3.0_10.5_2.75 55446.26122135000332 g 16.1270 0.0154 3.0000 10.5000 2.7500  6.6793  6.5116
lc_3.0_11.0_2.75 55446.26122135000332 g 16.6718 0.0163 3.0000 11.0000 2.7580  7.1803  7.0121
lc_3.0_11.0_2.75 55446.26122135000332 r 13.9064 0.0013 3.0000 11.0000 2.7580  7.1803  7.0121
lc_3.0_11.5_2.77 55446.26122135000332 g 17.2274 0.0180 3.0000 11.5000 2.7760  7.6824  7.5132
lc_3.0_11.5_2.77 55446.26122135000332 r 14.4522 0.0017 3.0000 11.5000 2.7760  7.6824  7.5132
lc_3.0_12.0_2.83 55446.26122135000332 g 17.9074 0.0216 3.0000 12.0000 2.8340  8.1893  8.0167
lc_3.0_12.0_2.83 55446.26122135000332 r 15.1396 0.0024 3.0000 12.0000 2.8340  8.1893  8.0167
lc_3.0_12.0_2.83 55446.26122135000332 i 13.5804 0.0153 3.0000 12.0000 2.8340  8.1893  8.0167
lc_3.0_12.5_2.85 55446.26122135000332 g 18.4586 0.0262 3.0000 12.5000 2.8540  8.6917  8.5179
lc_3.0_12.5_2.85 55446.26122135000332 r 15.6571 0.0032 3.0000 12.5000 2.8540  8.6917  8.5179
lc_3.0_12.5_2.85 55446.26122135000332 i 14.1015 0.0149 3.0000 12.5000 2.8540  8.6917  8.5179
lc_3.0_13.0_2.86 55446.26122135000332 g 19.0065 0.0333 3.0000 13.0000 2.8620  9.1927  9.0183
lc_3.0_13.0_2.86 55446.26122135000332 r 16.2109 0.0045 3.0000 13.0000 2.8620  9.1927  9.0183
lc_3.0_13.0_2.86 55446.26122135000332 i 14.6021 0.0146 3.0000 13.0000 2.8620  9.1927  9.0183
lc_3.0_13.5_2.90 55446.26122135000332 g 19.6522 0.0470 3.0000 13.5000 2.9010  9.6973  9.5207
lc_3.0_13.5_2.90 55446.26122135000332 r 16.7520 0.0063 3.0000 13.5000 2.9010  9.6973  9.5207
lc_3.0_13.5_2.90 55446.26122135000332 i 15.1780 0.0146 3.0000 13.5000 2.9010  9.6973  9.5207
lc_3.0_13.5_2.90 55446.26122135000332 z 13.8464 0.0146 3.0000 13.5000 2.9010  9.6973  9.5207
lc_3.0_14.0_2.91 55446.26122135000332 g 20.1678 0.0650 3.0000 14.0000 2.9160 10.1991 10.0216
lc_3.0_14.0_2.91 55446.26122135000332 r 17.3303 0.0092 3.0000 14.0000 2.9160 10.1991 10.0216
lc_3.0_14.0_2.91 55446.26122135000332 i 15.7392 0.0151 3.0000 14.0000 2.9160 10.1991 10.0216
lc_3.0_14.0_2.91 55446.26122135000332 z 14.3405 0.0146 3.0000 14.0000 2.9160 10.1991 10.0216
lc_3.0_14.0_2.91 55446.26122135000332 y 13.8627 0.0150 3.0000 14.0000 2.9160 10.1991 10.0216
lc_3.0_14.5_3.96 55446.26122135000332 r 19.9830 0.0622 3.0000 14.5000 3.9640 10.8238 10.5845
lc_3.0_14.5_3.96 55446.26122135000332 i 17.9147 0.0267 3.0000 14.5000 3.9640 10.8238 10.5845
lc_3.0_14.5_3.96 55446.26122135000332 z 16.2737 0.0180 3.0000 14.5000 3.9640 10.8238 10.5845
